principal_diagnosis,state,value
N00–N99  Diseases of the genitourinary system,ACT,7270.0
"O00–O99  Pregnancy, childbirth and the puerperium",ACT,2194.0
P00–P96  Certain conditions originating in the perinatal period,ACT,152.0
"Q00–Q99  Congenital malformations, deformations and chromosomal abnormalities",ACT,25.0
"R00–R99  Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",ACT,47229.0
"S00–T98  Injury, poisoning and certain other consequences of external causes",ACT,38394.0
"U07.1, U07.2, and U07.7  Emergency use of codes U07.1, U07.2 and U07.7",ACT,790.0
U50–Y98  External causes of morbidity and mortality,ACT,8.0
Z00–Z99  Factors influencing health status and contact with health services,ACT,1527.0
Not stated/invalid,ACT,3989.0
A00–B99  Certain infectious and parasitic diseases,NT,8202.0
C00–D48  Neoplasms,NT,311.0
D50–D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NT,537.0
"E00–E90  Endocrine, nutritional and metabolic diseases",NT,4288.0
F00–F99  Mental and behavioural disorders,NT,6859.0
G00–G99  Diseases of the nervous system,NT,2332.0
H00–H59  Diseases of the eye and adnexa,NT,2073.0
H60–H95  Diseases of the ear and mastoid process,NT,2966.0
I00–I99  Diseases of the circulatory system,NT,5594.0
J00–J99  Diseases of the respiratory system,NT,16164.0
K00–K93  Diseases of the digestive system,NT,9707.0
L00–L99  Diseases of the skin and subcutaneous tissue,NT,11075.0
M00–M99  Diseases of the musculoskeletal system and connective tissue,NT,12310.0
N00–N99  Diseases of the genitourinary system,NT,8466.0
"O00–O99  Pregnancy, childbirth and the puerperium",NT,1311.0
P00–P96  Certain conditions originating in the perinatal period,NT,128.0
"Q00–Q99  Congenital malformations, deformations and chromosomal abnormalities",NT,32.0
"R00–R99  Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",NT,32209.0
"S00–T98  Injury, poisoning and certain other consequences of external causes",NT,34459.0
"U07.1, U07.2, and U07.7  Emergency use of codes U07.1, U07.2 and U07.7",NT,722.0
U50–Y98  External causes of morbidity and mortality,NT,0.0
Z00–Z99  Factors influencing health status and contact with health services,NT,11609.0
Not stated/invalid,NT,16763.0
