peer_group,triage_category,state,value
Public acute group C hospitals,Non-urgent,ACT,. .
Other hospitals,Resuscitation,ACT,. .
Other hospitals,Emergency,ACT,. .
Other hospitals,Urgent,ACT,. .
Other hospitals,Semi-urgent,ACT,. .
Other hospitals,Non-urgent,ACT,. .
All hospitals,Resuscitation,ACT,99.0253
All hospitals,Emergency,ACT,64.4283
All hospitals,Urgent,ACT,51.2261
All hospitals,Semi-urgent,ACT,68.5805
All hospitals,Non-urgent,ACT,88.7337
Principal referral and womens and children's hospitals,Resuscitation,NT,100
Principal referral and womens and children's hospitals,Emergency,NT,36.512
Principal referral and womens and children's hospitals,Urgent,NT,18.0986
Principal referral and womens and children's hospitals,Semi-urgent,NT,33.1376
Principal referral and womens and children's hospitals,Non-urgent,NT,64.667
Public acute group A hospitals,Resuscitation,NT,100
Public acute group A hospitals,Emergency,NT,69.0614
Public acute group A hospitals,Urgent,NT,63.2142
Public acute group A hospitals,Semi-urgent,NT,57.2527
Public acute group A hospitals,Non-urgent,NT,92.1492
Public acute group B hospitals,Resuscitation,NT,. .
Public acute group B hospitals,Emergency,NT,. .
Public acute group B hospitals,Urgent,NT,. .
Public acute group B hospitals,Semi-urgent,NT,. .
Public acute group B hospitals,Non-urgent,NT,. .
Public acute group C hospitals,Resuscitation,NT,91.8421
Public acute group C hospitals,Emergency,NT,52.499
Public acute group C hospitals,Urgent,NT,45.4794
Public acute group C hospitals,Semi-urgent,NT,54.3907
Public acute group C hospitals,Non-urgent,NT,83.9807
Other hospitals,Resuscitation,NT,. .
Other hospitals,Emergency,NT,. .
Other hospitals,Urgent,NT,. .
Other hospitals,Semi-urgent,NT,. .
Other hospitals,Non-urgent,NT,. .
All hospitals,Resuscitation,NT,98.4168
All hospitals,Emergency,NT,49.1614
All hospitals,Urgent,NT,40.0083
All hospitals,Semi-urgent,NT,47.9467
All hospitals,Non-urgent,NT,82.2797
